# Block,RxnId,RxnName
1,1,_R2
1,0,_R1
1,10,_R11
1,17,_R18
1,0,_R1
1,15,_R16
1,0,_R1
1,11,_R12
1,0,_R1
1,6,_R7
1,1,_R2
1,0,_R1
1,0,_R1
1,12,_R13
1,15,_R16
1,19,_R20
1,1,_R2
1,1,_R2
1,21,_R22
1,1,_R2
1,0,_R1
1,0,_R1
1,1,_R2
1,17,_R18
1,6,_R7
1,7,_R8
1,0,_R1
1,6,_R7
1,16,_R17
1,10,_R11
1,1,_R2
1,0,_R1
1,0,_R1
1,0,_R1
1,10,_R11
1,19,_R20
1,0,_R1
1,14,_R15
1,11,_R12
1,11,_R12
1,1,_R2
1,19,_R20
1,0,_R1
1,15,_R16
1,1,_R2
1,19,_R20
1,0,_R1
1,10,_R11
1,1,_R2
1,7,_R8
1,1,_R2
1,20,_R21
1,1,_R2
1,21,_R22
1,1,_R2
1,20,_R21
1,0,_R1
1,14,_R15
1,1,_R2
1,0,_R1
1,16,_R17
1,1,_R2
1,15,_R16
1,7,_R8
1,0,_R1
1,13,_R14
1,0,_R1
1,13,_R14
1,0,_R1
1,11,_R12
1,1,_R2
1,1,_R2
1,17,_R18
1,0,_R1
1,1,_R2
1,20,_R21
1,0,_R1
1,0,_R1
1,6,_R7
1,6,_R7
1,7,_R8
1,10,_R11
1,1,_R2
1,17,_R18
1,0,_R1
1,0,_R1
1,11,_R12
1,0,_R1
1,0,_R1
1,6,_R7
1,6,_R7
1,0,_R1
1,6,_R7
1,6,_R7
1,1,_R2
1,16,_R17
1,0,_R1
1,1,_R2
1,12,_R13
1,17,_R18
1,9,_R10
1,7,_R8
1,0,_R1
1,1,_R2
1,0,_R1
1,0,_R1
1,14,_R15
1,21,_R22
1,13,_R14
1,1,_R2
1,6,_R7
1,18,_R19
1,0,_R1
1,0,_R1
1,12,_R13
1,1,_R2
1,0,_R1
1,15,_R16
1,1,_R2
1,0,_R1
1,12,_R13
1,16,_R17
1,10,_R11
1,18,_R19
1,0,_R1
1,0,_R1
1,6,_R7
1,11,_R12
1,1,_R2
1,19,_R20
1,1,_R2
1,7,_R8
1,1,_R2
1,1,_R2
1,20,_R21
1,0,_R1
1,10,_R11
1,0,_R1
1,1,_R2
1,7,_R8
1,1,_R2
1,21,_R22
1,1,_R2
1,15,_R16
1,1,_R2
1,18,_R19
1,0,_R1
1,20,_R21
1,16,_R17
1,6,_R7
1,0,_R1
1,1,_R2
1,0,_R1
1,0,_R1
1,0,_R1
1,14,_R15
1,6,_R7
1,6,_R7
1,6,_R7
1,1,_R2
1,20,_R21
1,1,_R2
1,19,_R20
1,1,_R2
1,21,_R22
1,1,_R2
1,1,_R2
1,17,_R18
1,21,_R22
1,1,_R2
1,19,_R20
1,17,_R18
1,0,_R1
1,1,_R2
1,6,_R7
1,1,_R2
1,7,_R8
1,0,_R1
1,11,_R12
1,21,_R22
1,0,_R1
1,15,_R16
1,1,_R2
1,0,_R1
1,11,_R12
1,7,_R8
1,0,_R1
1,14,_R15
1,0,_R1
1,10,_R11
1,0,_R1
1,1,_R2
1,1,_R2
1,19,_R20
1,1,_R2
1,0,_R1
1,7,_R8
1,15,_R16
1,10,_R11
1,1,_R2
1,1,_R2
1,1,_R2
1,20,_R21
1,19,_R20
1,16,_R17
1,21,_R22
1,0,_R1
1,1,_R2
1,16,_R17
1,0,_R1
1,0,_R1
1,0,_R1
1,14,_R15
1,1,_R2
1,1,_R2
1,0,_R1
1,15,_R16
1,10,_R11
1,1,_R2
1,21,_R22
1,10,_R11
1,1,_R2
1,19,_R20
1,13,_R14
1,16,_R17
1,16,_R17
1,0,_R1
1,12,_R13
1,1,_R2
1,18,_R19
1,1,_R2
1,1,_R2
1,18,_R19
1,1,_R2
1,0,_R1
1,14,_R15
1,19,_R20
1,19,_R20
1,1,_R2
1,7,_R8
1,0,_R1
1,1,_R2
1,10,_R11
1,1,_R2
1,20,_R21
1,1,_R2
1,0,_R1
1,19,_R20
1,11,_R12
1,1,_R2
1,1,_R2
1,21,_R22
1,21,_R22
1,17,_R18
1,0,_R1
1,14,_R15
1,1,_R2
1,0,_R1
1,14,_R15
1,1,_R2
1,17,_R18
1,18,_R19
1,9,_R10
1,20,_R21
1,0,_R1
1,0,_R1
1,10,_R11
1,12,_R13
1,1,_R2
1,0,_R1
1,1,_R2
1,1,_R2
1,19,_R20
1,20,_R21
1,15,_R16
1,0,_R1
1,19,_R20
1,15,_R16
1,0,_R1
1,0,_R1
1,10,_R11
1,0,_R1
1,0,_R1
1,13,_R14
1,10,_R11
1,0,_R1
1,10,_R11
1,1,_R2
1,0,_R1
1,1,_R2
1,1,_R2
1,16,_R17
1,19,_R20
1,1,_R2
1,20,_R21
1,21,_R22
1,1,_R2
1,0,_R1
1,17,_R18
1,12,_R13
1,6,_R7
1,1,_R2
1,19,_R20
