# Block,RxnId,RxnName
1,0,_R1
1,1,_R2
1,9,_R10
1,1,_R2
1,7,_R8
1,0,_R1
1,8,_R9
1,0,_R1
1,7,_R8
1,0,_R1
1,6,_R7
1,0,_R1
1,1,_R2
1,1,_R2
1,9,_R10
1,12,_R13
1,1,_R2
1,9,_R10
1,1,_R2
1,1,_R2
1,11,_R12
1,1,_R2
1,0,_R1
1,0,_R1
1,1,_R2
1,10,_R11
1,11,_R12
1,8,_R9
1,12,_R13
1,1,_R2
1,0,_R1
1,9,_R10
1,1,_R2
1,1,_R2
1,12,_R13
1,12,_R13
1,11,_R12
1,0,_R1
1,1,_R2
1,7,_R8
1,6,_R7
1,1,_R2
1,0,_R1
1,9,_R10
1,12,_R13
1,13,_R14
1,0,_R1
1,11,_R12
1,1,_R2
1,0,_R1
1,9,_R10
1,12,_R13
1,6,_R7
1,0,_R1
1,9,_R10
1,0,_R1
1,11,_R12
1,0,_R1
1,8,_R9
1,10,_R11
1,0,_R1
1,9,_R10
1,1,_R2
1,0,_R1
1,0,_R1
1,6,_R7
1,9,_R10
1,0,_R1
1,0,_R1
1,7,_R8
1,6,_R7
1,6,_R7
1,0,_R1
1,6,_R7
1,1,_R2
1,0,_R1
1,6,_R7
1,1,_R2
1,11,_R12
1,7,_R8
1,1,_R2
1,0,_R1
1,10,_R11
1,1,_R2
1,1,_R2
1,13,_R14
1,12,_R13
1,1,_R2
1,7,_R8
1,0,_R1
1,6,_R7
1,0,_R1
1,1,_R2
1,6,_R7
1,0,_R1
1,12,_R13
1,6,_R7
1,7,_R8
1,1,_R2
1,0,_R1
1,0,_R1
1,11,_R12
1,9,_R10
1,9,_R10
1,0,_R1
1,1,_R2
1,13,_R14
1,0,_R1
1,10,_R11
1,0,_R1
1,1,_R2
1,8,_R9
1,8,_R9
1,1,_R2
1,0,_R1
1,9,_R10
1,11,_R12
1,0,_R1
1,8,_R9
1,0,_R1
1,10,_R11
1,7,_R8
1,0,_R1
1,6,_R7
1,0,_R1
1,8,_R9
1,1,_R2
1,1,_R2
1,11,_R12
1,0,_R1
1,0,_R1
1,8,_R9
1,7,_R8
1,1,_R2
1,11,_R12
1,1,_R2
1,0,_R1
1,6,_R7
1,12,_R13
1,1,_R2
1,8,_R9
1,1,_R2
1,1,_R2
1,1,_R2
1,1,_R2
1,13,_R14
1,7,_R8
1,11,_R12
1,11,_R12
1,0,_R1
1,7,_R8
1,0,_R1
1,9,_R10
1,0,_R1
1,6,_R7
1,9,_R10
1,1,_R2
1,11,_R12
1,1,_R2
1,0,_R1
1,0,_R1
1,10,_R11
1,9,_R10
1,0,_R1
1,8,_R9
1,1,_R2
1,1,_R2
1,13,_R14
1,7,_R8
1,1,_R2
1,1,_R2
1,1,_R2
1,7,_R8
1,7,_R8
1,12,_R13
1,0,_R1
1,6,_R7
1,12,_R13
1,0,_R1
1,6,_R7
1,1,_R2
1,0,_R1
1,1,_R2
1,8,_R9
1,1,_R2
1,12,_R13
1,7,_R8
1,1,_R2
1,0,_R1
1,11,_R12
1,0,_R1
1,8,_R9
1,0,_R1
1,8,_R9
1,1,_R2
1,1,_R2
1,0,_R1
1,1,_R2
1,11,_R12
1,9,_R10
1,0,_R1
1,13,_R14
1,0,_R1
1,8,_R9
1,1,_R2
1,10,_R11
1,8,_R9
1,1,_R2
1,13,_R14
1,11,_R12
1,7,_R8
1,0,_R1
1,0,_R1
1,1,_R2
1,8,_R9
1,8,_R9
1,12,_R13
1,1,_R2
1,0,_R1
1,1,_R2
1,11,_R12
1,11,_R12
1,7,_R8
1,1,_R2
1,0,_R1
1,13,_R14
1,6,_R7
1,0,_R1
1,8,_R9
1,9,_R10
1,1,_R2
1,1,_R2
1,12,_R13
1,11,_R12
1,1,_R2
1,1,_R2
1,12,_R13
1,1,_R2
1,11,_R12
1,0,_R1
1,6,_R7
1,7,_R8
1,0,_R1
1,6,_R7
1,1,_R2
1,1,_R2
1,1,_R2
1,0,_R1
1,13,_R14
1,11,_R12
1,8,_R9
1,7,_R8
1,1,_R2
1,12,_R13
1,1,_R2
1,0,_R1
1,7,_R8
1,9,_R10
1,0,_R1
1,8,_R9
1,1,_R2
1,0,_R1
1,1,_R2
1,11,_R12
1,11,_R12
1,0,_R1
1,10,_R11
1,6,_R7
1,1,_R2
1,12,_R13
1,0,_R1
1,0,_R1
1,8,_R9
1,1,_R2
1,12,_R13
1,9,_R10
1,1,_R2
1,12,_R13
1,0,_R1
1,8,_R9
1,1,_R2
1,11,_R12
1,1,_R2
1,11,_R12
1,0,_R1
1,6,_R7
1,1,_R2
1,1,_R2
1,11,_R12
1,1,_R2
1,1,_R2
1,11,_R12
1,13,_R14
1,1,_R2
1,1,_R2
1,7,_R8
1,0,_R1
1,7,_R8
1,6,_R7
1,1,_R2
1,1,_R2
1,12,_R13
1,11,_R12
1,12,_R13
1,1,_R2
1,7,_R8
1,0,_R1
1,10,_R11
1,0,_R1
1,1,_R2
1,10,_R11
1,1,_R2
1,11,_R12
1,0,_R1
1,8,_R9
1,1,_R2
1,0,_R1
1,10,_R11
1,0,_R1
1,6,_R7
1,0,_R1
1,9,_R10
1,0,_R1
1,12,_R13
1,1,_R2
1,8,_R9
1,1,_R2
1,1,_R2
1,13,_R14
1,1,_R2
1,0,_R1
1,8,_R9
1,12,_R13
1,0,_R1
1,1,_R2
1,13,_R14
1,0,_R1
1,1,_R2
1,1,_R2
1,0,_R1
