# Block,RxnId,RxnName
1,6,_R2_sym1
1,8,_R2_sym3
1,8,_R2_sym3
1,7,_R2_sym2
1,6,_R2_sym1
1,7,_R2_sym2
1,8,_R2_sym3
1,10,_R2_sym5
1,6,_R2_sym1
1,8,_R2_sym3
1,6,_R2_sym1
1,11,_R2_sym6
1,9,_R2_sym4
1,11,_R2_sym6
1,6,_R2_sym1
1,8,_R2_sym3
1,9,_R2_sym4
1,11,_R2_sym6
1,8,_R2_sym3
1,10,_R2_sym5
1,8,_R2_sym3
1,9,_R2_sym4
1,10,_R2_sym5
1,10,_R2_sym5
1,11,_R2_sym6
1,10,_R2_sym5
1,9,_R2_sym4
1,9,_R2_sym4
1,8,_R2_sym3
1,10,_R2_sym5
1,11,_R2_sym6
1,9,_R2_sym4
1,7,_R2_sym2
1,8,_R2_sym3
1,11,_R2_sym6
1,10,_R2_sym5
1,6,_R2_sym1
1,6,_R2_sym1
1,8,_R2_sym3
1,8,_R2_sym3
1,6,_R2_sym1
1,6,_R2_sym1
1,6,_R2_sym1
1,10,_R2_sym5
1,10,_R2_sym5
1,7,_R2_sym2
1,6,_R2_sym1
1,10,_R2_sym5
1,6,_R2_sym1
1,6,_R2_sym1
1,6,_R2_sym1
1,7,_R2_sym2
1,14,_R3_sym3
1,7,_R2_sym2
1,7,_R2_sym2
1,10,_R2_sym5
1,17,_R3_sym6
1,6,_R2_sym1
1,13,_R3_sym2
1,9,_R2_sym4
1,18,_R4_sym1
1,11,_R2_sym6
1,13,_R3_sym2
1,6,_R2_sym1
1,9,_R2_sym4
1,6,_R2_sym1
1,6,_R2_sym1
1,10,_R2_sym5
1,14,_R3_sym3
1,12,_R3_sym1
1,10,_R2_sym5
1,7,_R2_sym2
1,9,_R2_sym4
1,6,_R2_sym1
1,10,_R2_sym5
1,9,_R2_sym4
1,11,_R2_sym6
1,7,_R2_sym2
1,8,_R2_sym3
1,9,_R2_sym4
1,11,_R2_sym6
1,10,_R2_sym5
1,8,_R2_sym3
1,10,_R2_sym5
1,12,_R3_sym1
1,8,_R2_sym3
1,13,_R3_sym2
1,16,_R3_sym5
1,16,_R3_sym5
1,9,_R2_sym4
1,8,_R2_sym3
1,10,_R2_sym5
1,11,_R2_sym6
1,10,_R2_sym5
1,8,_R2_sym3
1,17,_R3_sym6
1,17,_R3_sym6
1,13,_R3_sym2
1,9,_R2_sym4
1,16,_R3_sym5
1,14,_R3_sym3
1,7,_R2_sym2
1,7,_R2_sym2
1,11,_R2_sym6
1,14,_R3_sym3
1,15,_R3_sym4
1,9,_R2_sym4
1,7,_R2_sym2
1,11,_R2_sym6
1,9,_R2_sym4
1,11,_R2_sym6
1,8,_R2_sym3
1,6,_R2_sym1
1,7,_R2_sym2
1,12,_R3_sym1
1,11,_R2_sym6
1,9,_R2_sym4
1,16,_R3_sym5
1,6,_R2_sym1
1,7,_R2_sym2
1,6,_R2_sym1
1,16,_R3_sym5
1,7,_R2_sym2
1,12,_R3_sym1
1,11,_R2_sym6
1,21,_R4_sym4
1,14,_R3_sym3
1,7,_R2_sym2
1,8,_R2_sym3
1,13,_R3_sym2
1,11,_R2_sym6
1,9,_R2_sym4
1,16,_R3_sym5
1,7,_R2_sym2
1,10,_R2_sym5
1,10,_R2_sym5
1,10,_R2_sym5
1,10,_R2_sym5
1,6,_R2_sym1
1,11,_R2_sym6
1,9,_R2_sym4
1,14,_R3_sym3
1,12,_R3_sym1
1,14,_R3_sym3
1,17,_R3_sym6
1,17,_R3_sym6
1,11,_R2_sym6
1,7,_R2_sym2
1,13,_R3_sym2
1,12,_R3_sym1
1,17,_R3_sym6
1,6,_R2_sym1
1,15,_R3_sym4
1,22,_R4_sym5
1,7,_R2_sym2
1,12,_R3_sym1
1,15,_R3_sym4
1,8,_R2_sym3
1,8,_R2_sym3
1,7,_R2_sym2
1,10,_R2_sym5
1,10,_R2_sym5
1,9,_R2_sym4
1,11,_R2_sym6
1,6,_R2_sym1
1,17,_R3_sym6
1,6,_R2_sym1
1,19,_R4_sym2
1,6,_R2_sym1
1,13,_R3_sym2
1,10,_R2_sym5
1,16,_R3_sym5
1,12,_R3_sym1
1,17,_R3_sym6
1,12,_R3_sym1
1,10,_R2_sym5
1,16,_R3_sym5
1,10,_R2_sym5
1,10,_R2_sym5
1,8,_R2_sym3
1,10,_R2_sym5
1,6,_R2_sym1
1,8,_R2_sym3
1,12,_R3_sym1
1,6,_R2_sym1
1,9,_R2_sym4
1,17,_R3_sym6
1,7,_R2_sym2
1,6,_R2_sym1
1,17,_R3_sym6
1,22,_R4_sym5
1,7,_R2_sym2
1,10,_R2_sym5
1,9,_R2_sym4
1,11,_R2_sym6
1,7,_R2_sym2
1,11,_R2_sym6
1,7,_R2_sym2
1,8,_R2_sym3
1,13,_R3_sym2
1,10,_R2_sym5
1,7,_R2_sym2
1,6,_R2_sym1
2,12,_R3_sym1
2,9,_R2_sym4
2,10,_R2_sym5
2,17,_R3_sym6
2,15,_R3_sym4
2,9,_R2_sym4
2,8,_R2_sym3
2,8,_R2_sym3
2,15,_R3_sym4
2,10,_R2_sym5
2,7,_R2_sym2
2,8,_R2_sym3
2,7,_R2_sym2
2,6,_R2_sym1
2,10,_R2_sym5
2,15,_R3_sym4
2,12,_R3_sym1
2,14,_R3_sym3
2,8,_R2_sym3
2,12,_R3_sym1
2,16,_R3_sym5
2,14,_R3_sym3
2,6,_R2_sym1
2,14,_R3_sym3
2,9,_R2_sym4
2,17,_R3_sym6
2,14,_R3_sym3
2,12,_R3_sym1
2,23,_R4_sym6
2,17,_R3_sym6
2,20,_R4_sym3
2,16,_R3_sym5
2,15,_R3_sym4
2,16,_R3_sym5
2,6,_R2_sym1
2,9,_R2_sym4
2,14,_R3_sym3
2,6,_R2_sym1
2,6,_R2_sym1
2,16,_R3_sym5
2,23,_R4_sym6
2,18,_R4_sym1
2,16,_R3_sym5
2,7,_R2_sym2
2,6,_R2_sym1
2,8,_R2_sym3
2,17,_R3_sym6
2,20,_R4_sym3
2,6,_R2_sym1
2,9,_R2_sym4
2,7,_R2_sym2
2,10,_R2_sym5
2,9,_R2_sym4
2,6,_R2_sym1
2,18,_R4_sym1
2,20,_R4_sym3
2,8,_R2_sym3
2,14,_R3_sym3
2,16,_R3_sym5
2,13,_R3_sym2
2,7,_R2_sym2
2,6,_R2_sym1
2,14,_R3_sym3
2,10,_R2_sym5
2,9,_R2_sym4
2,11,_R2_sym6
2,14,_R3_sym3
2,12,_R3_sym1
2,6,_R2_sym1
2,10,_R2_sym5
2,6,_R2_sym1
2,23,_R4_sym6
2,12,_R3_sym1
2,8,_R2_sym3
2,23,_R4_sym6
2,11,_R2_sym6
2,8,_R2_sym3
2,11,_R2_sym6
2,23,_R4_sym6
2,8,_R2_sym3
2,15,_R3_sym4
2,6,_R2_sym1
2,8,_R2_sym3
2,7,_R2_sym2
2,7,_R2_sym2
2,13,_R3_sym2
2,21,_R4_sym4
2,12,_R3_sym1
2,17,_R3_sym6
2,17,_R3_sym6
2,12,_R3_sym1
2,13,_R3_sym2
2,6,_R2_sym1
2,10,_R2_sym5
2,11,_R2_sym6
2,8,_R2_sym3
2,15,_R3_sym4
2,12,_R3_sym1
2,10,_R2_sym5
2,21,_R4_sym4
2,11,_R2_sym6
2,10,_R2_sym5
2,11,_R2_sym6
2,7,_R2_sym2
2,13,_R3_sym2
2,6,_R2_sym1
2,8,_R2_sym3
2,11,_R2_sym6
2,9,_R2_sym4
2,7,_R2_sym2
2,16,_R3_sym5
2,20,_R4_sym3
2,6,_R2_sym1
2,20,_R4_sym3
2,7,_R2_sym2
2,13,_R3_sym2
2,7,_R2_sym2
2,7,_R2_sym2
2,10,_R2_sym5
2,9,_R2_sym4
2,10,_R2_sym5
2,6,_R2_sym1
2,8,_R2_sym3
2,12,_R3_sym1
2,8,_R2_sym3
2,9,_R2_sym4
2,16,_R3_sym5
2,6,_R2_sym1
2,14,_R3_sym3
2,15,_R3_sym4
2,10,_R2_sym5
2,16,_R3_sym5
2,8,_R2_sym3
2,8,_R2_sym3
2,12,_R3_sym1
2,11,_R2_sym6
2,1,_R1_sym2
2,10,_R2_sym5
2,8,_R2_sym3
2,8,_R2_sym3
2,12,_R3_sym1
2,10,_R2_sym5
2,9,_R2_sym4
2,10,_R2_sym5
2,6,_R2_sym1
2,12,_R3_sym1
2,11,_R2_sym6
2,13,_R3_sym2
2,9,_R2_sym4
2,10,_R2_sym5
2,7,_R2_sym2
2,16,_R3_sym5
2,10,_R2_sym5
2,7,_R2_sym2
2,17,_R3_sym6
2,7,_R2_sym2
2,16,_R3_sym5
2,9,_R2_sym4
2,10,_R2_sym5
2,15,_R3_sym4
2,10,_R2_sym5
2,7,_R2_sym2
2,2,_R1_sym3
2,9,_R2_sym4
2,6,_R2_sym1
2,7,_R2_sym2
2,15,_R3_sym4
2,9,_R2_sym4
2,9,_R2_sym4
2,7,_R2_sym2
2,14,_R3_sym3
2,8,_R2_sym3
2,15,_R3_sym4
2,16,_R3_sym5
2,19,_R4_sym2
2,17,_R3_sym6
2,10,_R2_sym5
2,20,_R4_sym3
2,13,_R3_sym2
2,8,_R2_sym3
2,10,_R2_sym5
2,9,_R2_sym4
2,14,_R3_sym3
2,6,_R2_sym1
2,12,_R3_sym1
2,16,_R3_sym5
2,16,_R3_sym5
2,10,_R2_sym5
2,10,_R2_sym5
2,8,_R2_sym3
2,8,_R2_sym3
2,18,_R4_sym1
2,10,_R2_sym5
2,7,_R2_sym2
2,9,_R2_sym4
2,6,_R2_sym1
2,15,_R3_sym4
2,11,_R2_sym6
2,14,_R3_sym3
2,16,_R3_sym5
2,8,_R2_sym3
2,6,_R2_sym1
2,16,_R3_sym5
2,10,_R2_sym5
2,14,_R3_sym3
2,23,_R4_sym6
2,13,_R3_sym2
2,10,_R2_sym5
2,12,_R3_sym1
2,7,_R2_sym2
2,15,_R3_sym4
2,9,_R2_sym4
2,6,_R2_sym1
2,15,_R3_sym4
2,15,_R3_sym4
2,7,_R2_sym2
2,21,_R4_sym4
2,8,_R2_sym3
2,9,_R2_sym4
2,16,_R3_sym5
2,9,_R2_sym4
2,11,_R2_sym6
2,15,_R3_sym4
2,9,_R2_sym4
2,7,_R2_sym2
2,9,_R2_sym4
2,7,_R2_sym2
2,11,_R2_sym6
2,8,_R2_sym3
2,14,_R3_sym3
2,8,_R2_sym3
2,11,_R2_sym6
2,9,_R2_sym4
2,15,_R3_sym4
2,8,_R2_sym3
2,14,_R3_sym3
2,12,_R3_sym1
2,5,_R1_sym6
2,6,_R2_sym1
2,11,_R2_sym6
2,11,_R2_sym6
2,12,_R3_sym1
2,10,_R2_sym5
2,9,_R2_sym4
2,6,_R2_sym1
2,17,_R3_sym6
2,13,_R3_sym2
3,8,_R2_sym3
3,9,_R2_sym4
3,15,_R3_sym4
3,12,_R3_sym1
3,7,_R2_sym2
3,16,_R3_sym5
3,17,_R3_sym6
3,11,_R2_sym6
3,21,_R4_sym4
3,9,_R2_sym4
3,7,_R2_sym2
3,17,_R3_sym6
3,13,_R3_sym2
3,9,_R2_sym4
3,8,_R2_sym3
3,6,_R2_sym1
3,8,_R2_sym3
3,17,_R3_sym6
3,9,_R2_sym4
3,7,_R2_sym2
3,8,_R2_sym3
3,21,_R4_sym4
3,23,_R4_sym6
3,11,_R2_sym6
3,8,_R2_sym3
3,12,_R3_sym1
3,8,_R2_sym3
3,9,_R2_sym4
3,16,_R3_sym5
3,6,_R2_sym1
3,17,_R3_sym6
3,7,_R2_sym2
3,7,_R2_sym2
3,11,_R2_sym6
3,11,_R2_sym6
3,7,_R2_sym2
3,15,_R3_sym4
3,23,_R4_sym6
3,19,_R4_sym2
3,9,_R2_sym4
3,16,_R3_sym5
3,17,_R3_sym6
3,15,_R3_sym4
3,6,_R2_sym1
3,17,_R3_sym6
3,10,_R2_sym5
3,9,_R2_sym4
3,6,_R2_sym1
3,14,_R3_sym3
3,10,_R2_sym5
3,18,_R4_sym1
3,17,_R3_sym6
3,11,_R2_sym6
3,14,_R3_sym3
3,11,_R2_sym6
3,10,_R2_sym5
3,10,_R2_sym5
3,21,_R4_sym4
3,10,_R2_sym5
3,23,_R4_sym6
3,9,_R2_sym4
3,9,_R2_sym4
3,10,_R2_sym5
3,6,_R2_sym1
3,16,_R3_sym5
3,12,_R3_sym1
3,22,_R4_sym5
3,13,_R3_sym2
3,6,_R2_sym1
3,14,_R3_sym3
3,7,_R2_sym2
3,8,_R2_sym3
3,11,_R2_sym6
3,8,_R2_sym3
3,8,_R2_sym3
3,6,_R2_sym1
3,17,_R3_sym6
3,10,_R2_sym5
3,13,_R3_sym2
3,15,_R3_sym4
3,21,_R4_sym4
3,8,_R2_sym3
3,12,_R3_sym1
3,8,_R2_sym3
3,17,_R3_sym6
3,6,_R2_sym1
3,10,_R2_sym5
3,12,_R3_sym1
3,13,_R3_sym2
3,8,_R2_sym3
3,10,_R2_sym5
3,6,_R2_sym1
3,14,_R3_sym3
3,16,_R3_sym5
3,4,_R1_sym5
3,22,_R4_sym5
3,9,_R2_sym4
3,15,_R3_sym4
3,10,_R2_sym5
3,8,_R2_sym3
3,12,_R3_sym1
3,17,_R3_sym6
3,15,_R3_sym4
3,11,_R2_sym6
3,16,_R3_sym5
3,15,_R3_sym4
3,7,_R2_sym2
3,20,_R4_sym3
3,12,_R3_sym1
3,9,_R2_sym4
3,17,_R3_sym6
3,13,_R3_sym2
3,15,_R3_sym4
3,15,_R3_sym4
3,10,_R2_sym5
3,7,_R2_sym2
3,15,_R3_sym4
3,20,_R4_sym3
3,14,_R3_sym3
3,11,_R2_sym6
3,13,_R3_sym2
3,6,_R2_sym1
3,22,_R4_sym5
3,7,_R2_sym2
3,15,_R3_sym4
3,15,_R3_sym4
3,11,_R2_sym6
3,17,_R3_sym6
3,14,_R3_sym3
3,10,_R2_sym5
3,11,_R2_sym6
3,12,_R3_sym1
3,17,_R3_sym6
3,10,_R2_sym5
3,13,_R3_sym2
3,9,_R2_sym4
3,6,_R2_sym1
3,11,_R2_sym6
3,9,_R2_sym4
3,17,_R3_sym6
3,14,_R3_sym3
3,8,_R2_sym3
3,12,_R3_sym1
3,14,_R3_sym3
3,9,_R2_sym4
3,11,_R2_sym6
3,23,_R4_sym6
3,0,_R1_sym1
3,7,_R2_sym2
3,23,_R4_sym6
3,9,_R2_sym4
3,16,_R3_sym5
3,20,_R4_sym3
3,14,_R3_sym3
3,16,_R3_sym5
3,20,_R4_sym3
3,7,_R2_sym2
3,7,_R2_sym2
3,23,_R4_sym6
3,14,_R3_sym3
3,12,_R3_sym1
3,17,_R3_sym6
3,3,_R1_sym4
3,17,_R3_sym6
3,9,_R2_sym4
3,15,_R3_sym4
3,6,_R2_sym1
3,6,_R2_sym1
3,14,_R3_sym3
3,10,_R2_sym5
3,11,_R2_sym6
3,14,_R3_sym3
3,11,_R2_sym6
3,11,_R2_sym6
3,22,_R4_sym5
3,13,_R3_sym2
3,11,_R2_sym6
3,9,_R2_sym4
3,7,_R2_sym2
3,15,_R3_sym4
3,16,_R3_sym5
3,9,_R2_sym4
3,11,_R2_sym6
3,19,_R4_sym2
3,9,_R2_sym4
3,12,_R3_sym1
3,11,_R2_sym6
3,6,_R2_sym1
3,12,_R3_sym1
3,19,_R4_sym2
3,10,_R2_sym5
3,15,_R3_sym4
3,14,_R3_sym3
3,13,_R3_sym2
3,9,_R2_sym4
3,6,_R2_sym1
3,17,_R3_sym6
3,20,_R4_sym3
3,10,_R2_sym5
3,14,_R3_sym3
3,0,_R1_sym1
3,13,_R3_sym2
3,6,_R2_sym1
3,12,_R3_sym1
3,15,_R3_sym4
3,19,_R4_sym2
3,8,_R2_sym3
3,11,_R2_sym6
3,7,_R2_sym2
3,11,_R2_sym6
3,23,_R4_sym6
3,9,_R2_sym4
3,16,_R3_sym5
3,13,_R3_sym2
3,17,_R3_sym6
3,7,_R2_sym2
3,10,_R2_sym5
3,7,_R2_sym2
3,16,_R3_sym5
3,12,_R3_sym1
3,13,_R3_sym2
3,13,_R3_sym2
3,9,_R2_sym4
3,17,_R3_sym6
3,7,_R2_sym2
3,19,_R4_sym2
3,7,_R2_sym2
3,10,_R2_sym5
3,17,_R3_sym6
3,17,_R3_sym6
3,6,_R2_sym1
3,6,_R2_sym1
3,15,_R3_sym4
3,8,_R2_sym3
3,13,_R3_sym2
3,20,_R4_sym3
3,14,_R3_sym3
3,19,_R4_sym2
3,8,_R2_sym3
3,14,_R3_sym3
3,20,_R4_sym3
3,17,_R3_sym6
3,5,_R1_sym6
3,9,_R2_sym4
3,17,_R3_sym6
3,17,_R3_sym6
3,9,_R2_sym4
3,17,_R3_sym6
3,14,_R3_sym3
3,16,_R3_sym5
3,10,_R2_sym5
3,9,_R2_sym4
3,7,_R2_sym2
3,17,_R3_sym6
3,9,_R2_sym4
3,16,_R3_sym5
3,9,_R2_sym4
3,17,_R3_sym6
3,10,_R2_sym5
3,7,_R2_sym2
3,2,_R1_sym3
3,6,_R2_sym1
3,3,_R1_sym4
3,6,_R2_sym1
3,16,_R3_sym5
3,6,_R2_sym1
3,7,_R2_sym2
3,20,_R4_sym3
3,6,_R2_sym1
3,8,_R2_sym3
3,6,_R2_sym1
3,10,_R2_sym5
3,15,_R3_sym4
3,13,_R3_sym2
3,10,_R2_sym5
3,21,_R4_sym4
3,15,_R3_sym4
3,16,_R3_sym5
3,14,_R3_sym3
3,15,_R3_sym4
3,9,_R2_sym4
3,6,_R2_sym1
4,13,_R3_sym2
4,8,_R2_sym3
4,7,_R2_sym2
4,11,_R2_sym6
4,11,_R2_sym6
4,10,_R2_sym5
4,9,_R2_sym4
4,7,_R2_sym2
4,13,_R3_sym2
4,21,_R4_sym4
4,6,_R2_sym1
4,10,_R2_sym5
4,6,_R2_sym1
4,17,_R3_sym6
4,7,_R2_sym2
4,11,_R2_sym6
4,21,_R4_sym4
4,14,_R3_sym3
4,22,_R4_sym5
4,8,_R2_sym3
4,11,_R2_sym6
4,7,_R2_sym2
4,9,_R2_sym4
4,9,_R2_sym4
4,13,_R3_sym2
4,18,_R4_sym1
4,13,_R3_sym2
4,15,_R3_sym4
4,9,_R2_sym4
4,12,_R3_sym1
4,16,_R3_sym5
4,8,_R2_sym3
4,22,_R4_sym5
4,20,_R4_sym3
4,11,_R2_sym6
4,15,_R3_sym4
4,6,_R2_sym1
4,6,_R2_sym1
4,10,_R2_sym5
4,14,_R3_sym3
4,6,_R2_sym1
4,13,_R3_sym2
4,10,_R2_sym5
4,9,_R2_sym4
4,10,_R2_sym5
4,8,_R2_sym3
4,19,_R4_sym2
4,17,_R3_sym6
4,8,_R2_sym3
4,6,_R2_sym1
4,8,_R2_sym3
4,15,_R3_sym4
4,1,_R1_sym2
4,6,_R2_sym1
4,16,_R3_sym5
4,9,_R2_sym4
4,22,_R4_sym5
4,17,_R3_sym6
4,15,_R3_sym4
4,17,_R3_sym6
4,9,_R2_sym4
4,10,_R2_sym5
4,7,_R2_sym2
4,7,_R2_sym2
4,21,_R4_sym4
4,18,_R4_sym1
4,16,_R3_sym5
4,14,_R3_sym3
4,15,_R3_sym4
4,23,_R4_sym6
4,6,_R2_sym1
4,14,_R3_sym3
4,11,_R2_sym6
4,13,_R3_sym2
4,14,_R3_sym3
4,7,_R2_sym2
4,13,_R3_sym2
4,8,_R2_sym3
4,7,_R2_sym2
4,8,_R2_sym3
4,14,_R3_sym3
4,14,_R3_sym3
4,16,_R3_sym5
4,12,_R3_sym1
4,13,_R3_sym2
4,14,_R3_sym3
4,11,_R2_sym6
4,20,_R4_sym3
4,7,_R2_sym2
4,22,_R4_sym5
4,21,_R4_sym4
4,9,_R2_sym4
4,16,_R3_sym5
4,19,_R4_sym2
4,16,_R3_sym5
4,20,_R4_sym3
4,9,_R2_sym4
4,10,_R2_sym5
4,7,_R2_sym2
4,6,_R2_sym1
4,11,_R2_sym6
4,9,_R2_sym4
4,9,_R2_sym4
4,21,_R4_sym4
4,7,_R2_sym2
4,16,_R3_sym5
4,13,_R3_sym2
4,16,_R3_sym5
4,15,_R3_sym4
4,14,_R3_sym3
4,18,_R4_sym1
4,8,_R2_sym3
4,16,_R3_sym5
4,15,_R3_sym4
4,10,_R2_sym5
4,14,_R3_sym3
4,14,_R3_sym3
4,12,_R3_sym1
4,10,_R2_sym5
4,22,_R4_sym5
4,10,_R2_sym5
4,20,_R4_sym3
4,20,_R4_sym3
4,21,_R4_sym4
